City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
216,La Libertad,EC,2021-11-28 01:04:11,-2.2333,-80.9,70.86,82,93,7.81
217,Faya,SA,2021-11-28 00:59:42,18.3851,42.4509,55.51,51,0,5.73
218,Yellowknife,CA,2021-11-28 01:02:03,62.456,-114.3525,-9.22,96,22,4.12
219,Illapel,CL,2021-11-28 01:04:12,-31.6308,-71.1653,60.64,71,0,3.76
220,Axim,GH,2021-11-28 00:59:19,4.8699,-2.2405,78.62,82,66,5.64
221,Posadas,AR,2021-11-28 01:04:08,-27.3671,-55.8961,78.78,69,0,4.61
222,Geraldton,AU,2021-11-28 01:04:13,-28.7667,114.6,88.21,18,0,5.75
223,Calbuco,CL,2021-11-28 01:04:14,-41.768,-73.1273,49.21,73,2,9.95
224,Sabha,LY,2021-11-28 01:05:14,27.0377,14.4283,71.56,26,100,11.83
225,Balanacan,PH,2021-11-28 01:05:14,13.5289,121.8677,80.04,84,100,9.62
226,Riviere-Au-Renard,CA,2021-11-28 01:05:15,48.9957,-64.3971,34.09,86,100,13.02
227,Mount Pleasant,US,2021-11-28 01:05:16,32.7941,-79.8626,44.74,84,1,0.0
228,Severo-Kurilsk,RU,2021-11-28 01:05:16,50.6789,156.125,29.26,65,80,29.59
229,Conde,BR,2021-11-28 01:01:44,-7.2597,-34.9075,78.19,74,12,10.92
230,Mongo,TD,2021-11-28 01:05:16,12.1844,18.693,73.87,14,48,5.53
231,Yarada,IN,2021-11-28 01:05:17,17.65,83.2667,79.12,73,75,10.36
232,Sakakah,SA,2021-11-28 01:05:17,29.9697,40.2064,56.75,49,9,4.52
233,Havoysund,NO,2021-11-28 01:04:51,70.9963,24.6622,20.28,79,39,18.14
234,Ahvaz,IR,2021-11-28 01:05:18,31.3203,48.6693,64.87,41,100,10.02
235,Clyde River,CA,2021-11-28 01:05:18,70.4692,-68.5914,-8.73,99,97,5.93
236,Makakilo City,US,2021-11-28 01:05:19,21.3469,-158.0858,80.92,59,90,5.75
237,Zary,PL,2021-11-28 01:05:19,51.6421,15.1373,33.1,89,100,7.76
238,Port Hardy,CA,2021-11-28 01:05:19,50.6996,-127.4199,46.58,93,90,14.97
239,Ruteng,ID,2021-11-28 01:05:20,-8.6136,120.4721,66.7,90,100,1.7
240,Igrim,RU,2021-11-28 01:05:20,63.1906,64.4162,3.13,96,27,3.69
241,Dunmore East,IE,2021-11-28 01:05:21,52.1514,-6.9861,39.9,77,100,13.69
242,Namatanai,PG,2021-11-28 01:05:21,-3.6667,152.4333,84.56,68,95,2.59
243,Macenta,GN,2021-11-28 01:05:21,8.5435,-9.471,70.41,68,99,0.27
244,Pevek,RU,2021-11-28 01:05:22,69.7008,170.3133,-12.59,83,5,4.25
245,Middelburg,ZA,2021-11-28 01:05:22,-25.7751,29.4648,54.55,88,91,7.85
246,San Agustin,MX,2021-11-28 01:05:23,20.5333,-103.4667,67.32,40,40,3.44
247,Buston,TJ,2021-11-28 01:05:23,40.2342,69.6948,37.58,87,94,4.47
248,Najran,SA,2021-11-28 01:05:23,17.4924,44.1277,59.83,48,0,1.72
249,Coquimbo,CL,2021-11-28 01:03:16,-29.9533,-71.3436,58.73,88,0,4.61
250,Uyuni,BO,2021-11-28 01:05:24,-20.4597,-66.825,56.25,46,96,20.18
251,Tuscaloosa,US,2021-11-28 01:05:24,33.2098,-87.5692,49.73,57,1,0.0
252,Pudozh,RU,2021-11-28 01:05:25,61.8099,36.5345,18.28,87,100,11.07
253,Bandarbeyla,SO,2021-11-28 01:05:25,9.4942,50.8122,78.1,80,81,14.94
254,Olafsvik,IS,2021-11-28 01:05:26,64.8945,-23.7142,38.66,91,100,7.02
255,Port Augusta,AU,2021-11-28 01:05:26,-32.5,137.7667,69.94,30,88,7.83
256,Port Blair,IN,2021-11-28 01:05:26,11.6667,92.75,81.86,74,26,13.98
257,Zaozerne,UA,2021-11-28 01:05:27,45.1582,33.2787,54.95,92,17,12.91
258,Nakapiripirit,UG,2021-11-28 01:05:28,1.9167,34.7833,66.0,82,56,7.92
259,Paragominas,BR,2021-11-28 01:05:28,-2.9667,-47.4833,74.57,90,83,2.19
260,Bodaybo,RU,2021-11-28 01:05:28,57.8506,114.1933,-5.51,98,100,1.83
261,Manihari,IN,2021-11-28 01:05:29,25.35,87.6333,62.91,75,40,0.85
262,Yar-Sale,RU,2021-11-28 01:05:29,66.8333,70.8333,-0.27,96,92,10.51
263,Moree,AU,2021-11-28 01:05:30,-29.4667,149.85,73.42,68,90,12.66
264,Greensburg,US,2021-11-28 01:05:30,40.3015,-79.5389,32.41,93,75,0.0
265,Talas,TR,2021-11-28 01:05:31,38.6908,35.5538,47.07,93,75,6.91
266,Nishihara,JP,2021-11-28 01:03:41,26.1842,127.7558,71.26,56,75,18.41
267,Bengkulu,ID,2021-11-28 01:05:31,-3.8004,102.2655,78.24,82,99,3.53
268,Concepcion Del Uruguay,AR,2021-11-28 01:05:32,-32.4825,-58.2372,72.07,61,100,6.62
269,Houma,US,2021-11-28 01:04:54,29.5958,-90.7195,57.2,77,1,0.0
270,Saint-Francois,FR,2021-11-28 01:06:33,46.4154,3.9054,35.04,93,90,8.05
271,Petropavlovsk-Kamchatskiy,RU,2021-11-28 01:02:55,53.0452,158.6483,21.79,54,0,8.95
272,Nowy Dwor Mazowiecki,PL,2021-11-28 01:06:33,52.4302,20.7165,30.49,100,20,5.75
273,Samarai,PG,2021-11-28 01:06:33,-10.6167,150.6667,83.77,72,100,6.62
274,Konstantinovka,RU,2021-11-28 01:06:34,49.6167,127.9833,16.09,93,100,4.76
275,Saint-Philippe,RE,2021-11-28 01:06:34,-21.3585,55.7679,76.59,83,80,5.12
276,Narsaq,GL,2021-11-28 01:03:12,60.9167,-46.05,39.42,100,100,1.77
277,Tuy Hoa,VN,2021-11-28 01:06:35,13.0833,109.3,76.08,96,100,9.17
278,Esperance,AU,2021-11-28 01:06:35,-33.8667,121.9,75.87,43,0,9.78
279,Bitung,ID,2021-11-28 01:06:36,1.4451,125.1824,86.85,67,85,1.1
280,Naze,JP,2021-11-28 01:06:36,28.3667,129.4833,64.11,58,7,20.29
281,Korem,ET,2021-11-28 01:06:37,12.5058,39.5228,52.65,75,59,5.17
282,Tura,IN,2021-11-28 01:06:37,25.5198,90.2201,58.98,74,38,3.13
283,Taltal,CL,2021-11-28 01:06:38,-25.4,-70.4833,63.66,76,5,1.95
284,Campbellsville,US,2021-11-28 01:06:38,37.3434,-85.3419,48.76,76,88,8.39
285,Palasa,IN,2021-11-28 01:06:38,18.7667,84.4167,71.4,88,24,9.1
286,Saint-Pierre,RE,2021-11-28 01:06:39,-21.3393,55.4781,76.68,78,90,4.61
287,Hambantota,LK,2021-11-28 01:06:39,6.1241,81.1185,75.54,100,75,5.75
288,Chara,RU,2021-11-28 01:06:39,56.9064,118.2631,-11.72,79,3,1.63
289,Lasa,IT,2021-11-28 01:06:06,46.6166,10.7002,32.74,96,100,3.62
290,Lata,PT,2021-11-28 01:06:40,40.1629,-8.3327,41.0,76,23,3.83
291,Vila Velha,BR,2021-11-28 01:05:29,-20.3297,-40.2925,75.15,78,0,9.22
