City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
604,Najran,SA,63.41,clear sky,17.4924,44.1277,محمد هادي ال فطيح
605,Carmen,MX,79.38,overcast clouds,18.6333,-91.8333,Hotel Lossandes
614,Camana,PE,70.93,broken clouds,-16.6228,-72.7111,Hostal Morales
615,Thio,NC,76.62,moderate rain,-21.6167,166.2167,La Ferme de Thio
616,Tekkali,IN,70.93,few clouds,18.6167,84.2333,Trinath Gantayat
617,Sao Sepe,BR,78.73,broken clouds,-30.1606,-53.5653,Trevo Parque Hotel
620,Sungairaya,ID,77.77,overcast clouds,0.7,108.9,Mess P.Milu
621,Porterville,US,75.76,clear sky,36.0652,-119.0168,"Holiday Inn Express & Suites Porterville, an IHG Hotel"
626,Taitung,TW,72.18,overcast clouds,22.7583,121.1444,Taitung Bali Suites Hotel
631,Nishihara,JP,71.71,overcast clouds,26.1842,127.7558,Minshuku Agaihama
636,Namibe,AO,72.45,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
637,Kapit,MY,73.4,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
639,Saint-Pierre,RE,76.68,broken clouds,-21.3393,55.4781,Lindsey Hôtel
640,Luangwa,ZM,79.61,clear sky,-15.6167,30.4167,Gerasimos Safari Lodge
641,Voh,NC,75.49,clear sky,-20.9667,164.7,Le gîte du Koniambo
642,Shorkot,PK,65.71,overcast clouds,31.9099,70.8774,Saggu Janubi
643,Plettenberg Bay,ZA,62.04,broken clouds,-34.0527,23.3716,Thanda Vista B&B
644,Nago,JP,72.45,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
645,Veraval,IN,76.21,broken clouds,20.9,70.3667,Lords Inn Somnath
649,Tezu,IN,62.22,broken clouds,27.9167,96.1667,Circuit House
651,Isabela,PH,78.12,overcast clouds,6.7085,121.9711,Isawad Resort
654,Ishurdi,BD,67.17,scattered clouds,24.1333,89.0833,Rafiur Rahman
657,Bahia De Caraquez,EC,78.98,broken clouds,-0.6,-80.4167,Saiananda Eco-Hotel
664,Valdivia,CL,68.09,broken clouds,-39.8142,-73.2459,Hostal Entre Rios
665,Sebring,US,69.6,clear sky,27.4956,-81.4409,La Quinta Inn & Suites by Wyndham Sebring
666,Puri,IN,66.72,few clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
669,Salalah,OM,77.34,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
670,Melong,CM,70.57,light rain,5.1218,9.9614,Hôtel de melong
671,Ranong,TH,73.36,moderate rain,9.9658,98.6348,Tinidee Hotel@Ranong
674,Baghmara,IN,64.74,overcast clouds,23.795,86.2085,Shankar tea shop
675,Alice Town,BS,69.31,broken clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
676,Valparaiso,CL,66.43,clear sky,-33.0393,-71.6273,Hotel Ultramar
680,Port Hedland,AU,77.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
684,Jalu,LY,67.15,overcast clouds,29.0331,21.5482,صاحبة الفخامة
688,Atotonilquillo,MX,68.34,clear sky,20.4,-103.1333,Baños públicos brillit
689,Abis,PH,75.15,scattered clouds,9.7173,122.9438,Honey's Relax Inn
